decision_id,category,decision,advisors_present,num_advisors,votes_json,yes_votes,no_votes,abstain_votes,board_recommendation,final_choice,user_aligned_with_board,outcome,satisfaction_score,days_to_outcome
DEC-0011,Career,Should I leave my stable job to travel for a year?,"80-Year-Old You, CFO, Adventurer, Builder",4,"{""80-Year-Old You"": ""Abstain"", ""CFO"": ""Abstain"", ""Adventurer"": ""Yes"", ""Builder"": ""Yes""}",2,0,2,Yes,Delayed decision,False,Pending,3,
DEC-0012,Health,Should I join the gym or exercise at home?,"Inner Critic, Builder, Dad Voice",3,"{""Inner Critic"": ""No"", ""Builder"": ""Abstain"", ""Dad Voice"": ""Yes""}",1,1,1,Split,Did not proceed (aligned with majority),True,Mixed,4,72.0
DEC-0013,Creative,Should I collaborate with someone whose style differs from mine?,"Spouse/Partner, Chaos Goblin, Therapist, Future Self, Dad Voice",5,"{""Spouse/Partner"": ""No"", ""Chaos Goblin"": ""Yes"", ""Therapist"": ""Yes"", ""Future Self"": ""Yes"", ""Dad Voice"": ""No""}",3,2,0,Yes,Proceeded (aligned with majority),True,Successful,5,10.0
DEC-0014,Finance,Should I buy a house now or wait for prices to drop?,"Therapist, Adventurer, Future Self",3,"{""Therapist"": ""Yes"", ""Adventurer"": ""Yes"", ""Future Self"": ""Yes""}",3,0,0,Yes,Chose alternative path,False,Pending,3,
DEC-0015,Finance,Should I take the early retirement package?,"Chaos Goblin, Future Self, Adventurer, CFO",4,"{""Chaos Goblin"": ""Abstain"", ""Future Self"": ""Yes"", ""Adventurer"": ""Yes"", ""CFO"": ""Abstain""}",2,0,2,Yes,Proceeded (aligned with majority),True,Mixed,3,10.0
DEC-0016,Health,Should I take a mental health day even though work is busy?,"Adventurer, Future Self, Inner Critic, Dad Voice",4,"{""Adventurer"": ""Yes"", ""Future Self"": ""Yes"", ""Inner Critic"": ""Yes"", ""Dad Voice"": ""No""}",3,1,0,Yes,Delayed decision,False,Successful,5,73.0
DEC-0017,Career,Should I ask for a promotion or wait for it to be offered?,"Inner Critic, CFO, Adventurer, Chaos Goblin, 80-Year-Old You",5,"{""Inner Critic"": ""Yes"", ""CFO"": ""No"", ""Adventurer"": ""Yes"", ""Chaos Goblin"": ""Yes"", ""80-Year-Old You"": ""Yes""}",4,1,0,Yes,Proceeded (aligned with majority),True,Pending,3,
DEC-0018,Creative,Should I invest in professional equipment or keep bootstrapping?,"Chaos Goblin, Inner Critic, 80-Year-Old You, Adventurer",4,"{""Chaos Goblin"": ""Yes"", ""Inner Critic"": ""No"", ""80-Year-Old You"": ""Yes"", ""Adventurer"": ""No""}",2,2,0,Split,Proceeded anyway,False,Mixed,2,64.0
DEC-0019,Personal Growth,Should I attend the silent retreat?,"Builder, CFO, Adventurer, Chaos Goblin, 80-Year-Old You",5,"{""Builder"": ""Yes"", ""CFO"": ""Yes"", ""Adventurer"": ""Abstain"", ""Chaos Goblin"": ""Yes"", ""80-Year-Old You"": ""Abstain""}",3,0,2,Yes,Proceeded (aligned with majority),True,Mixed,2,13.0
DEC-0020,Health,Should I see a specialist about this recurring issue?,"Dad Voice, Inner Critic, Therapist, Builder, Adventurer",5,"{""Dad Voice"": ""No"", ""Inner Critic"": ""No"", ""Therapist"": ""Yes"", ""Builder"": ""Yes"", ""Adventurer"": ""Yes""}",3,2,0,Yes,Proceeded (aligned with majority),True,Pending,4,
DEC-0021,Career,Should I take the startup offer over the corporate role?,"Dad Voice, Adventurer, Inner Critic, Spouse/Partner, 80-Year-Old You",5,"{""Dad Voice"": ""No"", ""Adventurer"": ""Yes"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Yes"", ""80-Year-Old You"": ""Yes""}",3,2,0,Yes,Proceeded (aligned with majority),True,Successful,4,41.0
DEC-0022,Personal Growth,Should I join the mastermind group?,"Inner Critic, CFO, Spouse/Partner, Therapist, Dad Voice",5,"{""Inner Critic"": ""Abstain"", ""CFO"": ""Yes"", ""Spouse/Partner"": ""Yes"", ""Therapist"": ""Yes"", ""Dad Voice"": ""No""}",3,1,1,Yes,Proceeded (aligned with majority),True,Mixed,3,29.0
DEC-0023,Lifestyle,Should I adopt a cat (my third)?,"Inner Critic, 80-Year-Old You, Spouse/Partner, Chaos Goblin",4,"{""Inner Critic"": ""Yes"", ""80-Year-Old You"": ""No"", ""Spouse/Partner"": ""Abstain"", ""Chaos Goblin"": ""Yes""}",2,1,1,Yes,Proceeded (aligned with majority),True,Successful,5,23.0
DEC-0024,Lifestyle,Should I switch to a plant-based diet?,"Chaos Goblin, Inner Critic, CFO, 80-Year-Old You, Dad Voice",5,"{""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""No"", ""CFO"": ""Yes"", ""80-Year-Old You"": ""Yes"", ""Dad Voice"": ""No""}",2,2,1,Split,Did not proceed (aligned with majority),True,Successful,3,49.0
DEC-0025,Creative,Should I quit my day job to pursue art full-time?,"Future Self, Dad Voice, Adventurer, Builder",4,"{""Future Self"": ""No"", ""Dad Voice"": ""Abstain"", ""Adventurer"": ""Yes"", ""Builder"": ""No""}",1,2,1,No,Proceeded anyway,False,Pending,4,
DEC-0026,Creative,Should I take the unconventional career path?,"CFO, Builder, Therapist, Chaos Goblin",4,"{""CFO"": ""Abstain"", ""Builder"": ""Abstain"", ""Therapist"": ""Abstain"", ""Chaos Goblin"": ""Abstain""}",0,0,4,Split,Proceeded anyway,False,Unsuccessful,1,7.0
DEC-0027,Creative,Should I invest in professional equipment or keep bootstrapping?,"Future Self, 80-Year-Old You, Therapist",3,"{""Future Self"": ""Yes"", ""80-Year-Old You"": ""No"", ""Therapist"": ""Yes""}",2,1,0,Yes,Proceeded (aligned with majority),True,Successful,4,11.0
DEC-0028,Creative,Should I apply to the residency program abroad?,"Inner Critic, Chaos Goblin, Therapist, CFO",4,"{""Inner Critic"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Therapist"": ""Yes"", ""CFO"": ""Abstain""}",2,0,2,Yes,Proceeded (aligned with majority),True,Successful,4,43.0
DEC-0029,Health,Should I switch to a standing desk?,"Adventurer, Chaos Goblin, Future Self, Builder, CFO",5,"{""Adventurer"": ""No"", ""Chaos Goblin"": ""Yes"", ""Future Self"": ""Abstain"", ""Builder"": ""No"", ""CFO"": ""No""}",1,3,1,No,Did not proceed (aligned with majority),True,Mixed,3,11.0
DEC-0030,Lifestyle,Should I take the sabbatical and travel?,"Dad Voice, Therapist, Adventurer, Inner Critic",4,"{""Dad Voice"": ""Abstain"", ""Therapist"": ""No"", ""Adventurer"": ""Yes"", ""Inner Critic"": ""No""}",1,2,1,No,Did not proceed (aligned with majority),True,Mixed,2,88.0
DEC-0031,Health,Should I see a specialist about this recurring issue?,"Builder, Spouse/Partner, Chaos Goblin, Inner Critic, CFO",5,"{""Builder"": ""Yes"", ""Spouse/Partner"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""No"", ""CFO"": ""No""}",2,2,1,Split,Did not proceed (aligned with majority),True,Mixed,3,24.0
DEC-0032,Lifestyle,Should I move to a new city where I know no one?,"Inner Critic, Therapist, Adventurer, Chaos Goblin",4,"{""Inner Critic"": ""Abstain"", ""Therapist"": ""Yes"", ""Adventurer"": ""Yes"", ""Chaos Goblin"": ""Abstain""}",2,0,2,Yes,Proceeded (aligned with majority),True,Successful,5,81.0
DEC-0033,Creative,Should I share my creative work publicly?,"Chaos Goblin, Future Self, Dad Voice, Inner Critic",4,"{""Chaos Goblin"": ""Yes"", ""Future Self"": ""Yes"", ""Dad Voice"": ""No"", ""Inner Critic"": ""Abstain""}",2,1,1,Yes,Delayed decision,False,Pending,4,
DEC-0034,Finance,Should I pay off student loans aggressively or invest the difference?,"Inner Critic, 80-Year-Old You, CFO, Spouse/Partner, Adventurer",5,"{""Inner Critic"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""CFO"": ""Yes"", ""Spouse/Partner"": ""No"", ""Adventurer"": ""Yes""}",3,1,1,Yes,Proceeded (aligned with majority),True,Successful,5,59.0
DEC-0035,Personal Growth,Should I set a strict morning routine?,"Inner Critic, Chaos Goblin, 80-Year-Old You, Adventurer, Therapist",5,"{""Inner Critic"": ""Abstain"", ""Chaos Goblin"": ""No"", ""80-Year-Old You"": ""No"", ""Adventurer"": ""No"", ""Therapist"": ""Yes""}",1,3,1,No,Did not proceed (aligned with majority),True,Mixed,2,59.0
DEC-0036,Career,Should I accept the lateral move to a different department?,"Future Self, Spouse/Partner, Therapist, Builder",4,"{""Future Self"": ""Abstain"", ""Spouse/Partner"": ""Yes"", ""Therapist"": ""Yes"", ""Builder"": ""Yes""}",3,0,1,Yes,Proceeded (aligned with majority),True,Successful,4,45.0
DEC-0037,Personal Growth,Should I hire a life coach?,"CFO, Future Self, Chaos Goblin, Inner Critic",4,"{""CFO"": ""Abstain"", ""Future Self"": ""No"", ""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""Abstain""}",0,1,3,No,Did not proceed (aligned with majority),True,Successful,3,48.0
DEC-0038,Relationships,Should I tell my partner about my past?,"Chaos Goblin, Inner Critic, Future Self, 80-Year-Old You",4,"{""Chaos Goblin"": ""Yes"", ""Inner Critic"": ""No"", ""Future Self"": ""Yes"", ""80-Year-Old You"": ""Yes""}",3,1,0,Yes,Chose alternative path,False,Mixed,2,62.0
DEC-0039,Finance,Should I start a business with my savings?,"CFO, Chaos Goblin, Dad Voice, 80-Year-Old You, Therapist",5,"{""CFO"": ""No"", ""Chaos Goblin"": ""Abstain"", ""Dad Voice"": ""Yes"", ""80-Year-Old You"": ""Yes"", ""Therapist"": ""Yes""}",3,1,1,Yes,Proceeded (aligned with majority),True,Successful,5,38.0
DEC-0040,Creative,Should I pivot my creative direction entirely?,"Adventurer, 80-Year-Old You, CFO, Therapist",4,"{""Adventurer"": ""Yes"", ""80-Year-Old You"": ""Abstain"", ""CFO"": ""No"", ""Therapist"": ""Abstain""}",1,1,2,Split,Did not proceed (aligned with majority),True,Mixed,4,34.0
DEC-0041,Finance,Should I rent or buy in this market?,"Dad Voice, Builder, Future Self",3,"{""Dad Voice"": ""Yes"", ""Builder"": ""No"", ""Future Self"": ""No""}",1,2,0,No,Proceeded anyway,False,Unsuccessful,2,24.0
DEC-0042,Personal Growth,Should I say yes to the scary opportunity?,"Adventurer, Builder, Spouse/Partner, CFO, 80-Year-Old You",5,"{""Adventurer"": ""Yes"", ""Builder"": ""Yes"", ""Spouse/Partner"": ""No"", ""CFO"": ""Abstain"", ""80-Year-Old You"": ""Yes""}",3,1,1,Yes,Chose alternative path,False,Successful,5,83.0
DEC-0043,Finance,Should I buy a house now or wait for prices to drop?,"Spouse/Partner, Adventurer, CFO, Builder, Dad Voice",5,"{""Spouse/Partner"": ""No"", ""Adventurer"": ""Yes"", ""CFO"": ""No"", ""Builder"": ""Yes"", ""Dad Voice"": ""Abstain""}",2,2,1,Split,Chose compromise,False,Successful,5,84.0
DEC-0044,Creative,Should I invest in professional equipment or keep bootstrapping?,"Builder, Chaos Goblin, Dad Voice, Therapist, Spouse/Partner",5,"{""Builder"": ""Abstain"", ""Chaos Goblin"": ""Yes"", ""Dad Voice"": ""Abstain"", ""Therapist"": ""No"", ""Spouse/Partner"": ""No""}",1,2,2,No,Did not proceed (aligned with majority),True,Mixed,3,34.0
DEC-0045,Creative,Should I share my creative work publicly?,"80-Year-Old You, Future Self, Dad Voice, Spouse/Partner",4,"{""80-Year-Old You"": ""No"", ""Future Self"": ""Yes"", ""Dad Voice"": ""Yes"", ""Spouse/Partner"": ""Abstain""}",2,1,1,Yes,Proceeded (aligned with majority),True,Successful,5,46.0
DEC-0046,Relationships,Should I say yes to being a bridesmaid when I can't afford it?,"Spouse/Partner, Inner Critic, CFO, Dad Voice, Adventurer",5,"{""Spouse/Partner"": ""Yes"", ""Inner Critic"": ""No"", ""CFO"": ""No"", ""Dad Voice"": ""Abstain"", ""Adventurer"": ""Yes""}",2,2,1,Split,Did not proceed (aligned with majority),True,Mixed,4,14.0
DEC-0047,Relationships,Should I end a friendship that feels one-sided?,"Future Self, Spouse/Partner, Therapist, Dad Voice",4,"{""Future Self"": ""No"", ""Spouse/Partner"": ""Yes"", ""Therapist"": ""Abstain"", ""Dad Voice"": ""No""}",1,2,1,No,Did not proceed (aligned with majority),True,Mixed,3,32.0
DEC-0048,Career,Should I accept the lateral move to a different department?,"Therapist, Adventurer, Builder",3,"{""Therapist"": ""Yes"", ""Adventurer"": ""No"", ""Builder"": ""Yes""}",2,1,0,Yes,Proceeded (aligned with majority),True,Unsuccessful,2,15.0
DEC-0049,Creative,Should I collaborate with someone whose style differs from mine?,"Future Self, Therapist, Builder, 80-Year-Old You",4,"{""Future Self"": ""Yes"", ""Therapist"": ""No"", ""Builder"": ""Yes"", ""80-Year-Old You"": ""Abstain""}",2,1,1,Yes,Proceeded (aligned with majority),True,Mixed,2,65.0
DEC-0050,Career,Should I take the contract role for more money but less stability?,"Dad Voice, Spouse/Partner, 80-Year-Old You",3,"{""Dad Voice"": ""No"", ""Spouse/Partner"": ""Yes"", ""80-Year-Old You"": ""Abstain""}",1,1,1,Split,Proceeded anyway,False,Pending,3,
DEC-0051,Career,Should I confront my manager about the toxic team culture?,"Adventurer, CFO, Builder, Dad Voice",4,"{""Adventurer"": ""No"", ""CFO"": ""Abstain"", ""Builder"": ""Yes"", ""Dad Voice"": ""Yes""}",2,1,1,Yes,Proceeded (aligned with majority),True,Successful,5,82.0
DEC-0052,Finance,Should I take the early retirement package?,"Chaos Goblin, 80-Year-Old You, Inner Critic, Builder, Spouse/Partner",5,"{""Chaos Goblin"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""No"", ""Builder"": ""No"", ""Spouse/Partner"": ""No""}",1,3,1,No,Chose compromise,False,Successful,4,87.0
DEC-0053,Career,Should I pivot from engineering to product management?,"Builder, Inner Critic, Adventurer",3,"{""Builder"": ""Yes"", ""Inner Critic"": ""No"", ""Adventurer"": ""Yes""}",2,1,0,Yes,Proceeded (aligned with majority),True,Successful,4,39.0
DEC-0054,Lifestyle,Should I move back to my hometown?,"Adventurer, Future Self, Spouse/Partner, Chaos Goblin",4,"{""Adventurer"": ""No"", ""Future Self"": ""No"", ""Spouse/Partner"": ""Abstain"", ""Chaos Goblin"": ""Yes""}",1,2,1,No,Proceeded anyway,False,Successful,3,37.0
DEC-0055,Creative,Should I take the unconventional career path?,"CFO, Builder, Spouse/Partner",3,"{""CFO"": ""No"", ""Builder"": ""Abstain"", ""Spouse/Partner"": ""Abstain""}",0,1,2,No,Did not proceed (aligned with majority),True,Mixed,3,54.0
DEC-0056,Relationships,Should I forgive my friend for breaking my trust?,"80-Year-Old You, Dad Voice, Adventurer, Spouse/Partner, CFO",5,"{""80-Year-Old You"": ""Abstain"", ""Dad Voice"": ""No"", ""Adventurer"": ""Yes"", ""Spouse/Partner"": ""Yes"", ""CFO"": ""Yes""}",3,1,1,Yes,Chose alternative path,False,Pending,3,
DEC-0057,Career,Should I tell my boss I'm looking for other opportunities?,"Spouse/Partner, CFO, Builder, Future Self, Dad Voice",5,"{""Spouse/Partner"": ""No"", ""CFO"": ""Abstain"", ""Builder"": ""Yes"", ""Future Self"": ""No"", ""Dad Voice"": ""No""}",1,3,1,No,Did not proceed (aligned with majority),True,Successful,4,45.0
DEC-0058,Relationships,Should I confront my roommate about their behavior?,"Builder, Therapist, Chaos Goblin",3,"{""Builder"": ""No"", ""Therapist"": ""Yes"", ""Chaos Goblin"": ""Abstain""}",1,1,1,Split,Chose compromise,False,Mixed,3,43.0
DEC-0059,Relationships,Should I tell my friend their partner is bad for them?,"Chaos Goblin, Inner Critic, CFO",3,"{""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""No"", ""CFO"": ""No""}",0,2,1,No,Proceeded anyway,False,Mixed,4,83.0
DEC-0060,Health,Should I try the elimination diet my friend recommended?,"Future Self, Spouse/Partner, Builder",3,"{""Future Self"": ""Abstain"", ""Spouse/Partner"": ""No"", ""Builder"": ""No""}",0,2,1,No,Proceeded anyway,False,Pending,4,
DEC-0061,Finance,Should I sell my stocks during this market dip?,"Spouse/Partner, Inner Critic, CFO",3,"{""Spouse/Partner"": ""No"", ""Inner Critic"": ""Yes"", ""CFO"": ""Abstain""}",1,1,1,Split,Chose compromise,False,Mixed,2,22.0
DEC-0062,Health,Should I take a sabbatical for burnout recovery?,"Spouse/Partner, Inner Critic, Dad Voice, Future Self, Chaos Goblin",5,"{""Spouse/Partner"": ""Abstain"", ""Inner Critic"": ""No"", ""Dad Voice"": ""No"", ""Future Self"": ""Yes"", ""Chaos Goblin"": ""Abstain""}",1,2,2,No,Did not proceed (aligned with majority),True,Pending,4,
DEC-0063,Relationships,Should I tell my partner about my past?,"Therapist, Inner Critic, Spouse/Partner, Chaos Goblin",4,"{""Therapist"": ""Yes"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Abstain"", ""Chaos Goblin"": ""No""}",1,2,1,No,Did not proceed (aligned with majority),True,Pending,3,
DEC-0064,Health,Should I train for a marathon even though I've never run?,"Inner Critic, Dad Voice, Chaos Goblin, Future Self",4,"{""Inner Critic"": ""Abstain"", ""Dad Voice"": ""Abstain"", ""Chaos Goblin"": ""Abstain"", ""Future Self"": ""Yes""}",1,0,3,Yes,Proceeded (aligned with majority),True,Pending,3,
DEC-0065,Relationships,Should I attend the wedding of someone who hurt me?,"Chaos Goblin, Dad Voice, Builder, Future Self",4,"{""Chaos Goblin"": ""Abstain"", ""Dad Voice"": ""Yes"", ""Builder"": ""Abstain"", ""Future Self"": ""Yes""}",2,0,2,Yes,Proceeded (aligned with majority),True,Unsuccessful,1,61.0
DEC-0066,Career,Should I accept the lateral move to a different department?,"Chaos Goblin, Builder, Adventurer",3,"{""Chaos Goblin"": ""No"", ""Builder"": ""Abstain"", ""Adventurer"": ""Yes""}",1,1,1,Split,Did not proceed (aligned with majority),True,Mixed,4,89.0
DEC-0067,Creative,Should I take the commercial project for money even if it's not my passion?,"Therapist, 80-Year-Old You, CFO, Spouse/Partner",4,"{""Therapist"": ""Yes"", ""80-Year-Old You"": ""No"", ""CFO"": ""Abstain"", ""Spouse/Partner"": ""Abstain""}",1,1,2,Split,Did not proceed (aligned with majority),True,Successful,3,84.0
DEC-0068,Lifestyle,Should I move back to my hometown?,"80-Year-Old You, Builder, Spouse/Partner",3,"{""80-Year-Old You"": ""Abstain"", ""Builder"": ""Yes"", ""Spouse/Partner"": ""Abstain""}",1,0,2,Yes,Proceeded (aligned with majority),True,Successful,3,70.0
DEC-0069,Health,Should I switch to a standing desk?,"Builder, Dad Voice, Inner Critic, CFO, Spouse/Partner",5,"{""Builder"": ""Abstain"", ""Dad Voice"": ""No"", ""Inner Critic"": ""No"", ""CFO"": ""Abstain"", ""Spouse/Partner"": ""Yes""}",1,2,2,No,Did not proceed (aligned with majority),True,Successful,4,4.0
DEC-0070,Creative,Should I invest in professional equipment or keep bootstrapping?,"Inner Critic, Builder, Adventurer, Future Self",4,"{""Inner Critic"": ""Abstain"", ""Builder"": ""Abstain"", ""Adventurer"": ""Yes"", ""Future Self"": ""Abstain""}",1,0,3,Yes,Chose alternative path,False,Mixed,3,52.0
DEC-0071,Creative,Should I invest in professional equipment or keep bootstrapping?,"Future Self, Chaos Goblin, Therapist",3,"{""Future Self"": ""No"", ""Chaos Goblin"": ""Abstain"", ""Therapist"": ""Yes""}",1,1,1,Split,Chose compromise,False,Unsuccessful,1,75.0
DEC-0072,Creative,Should I quit my day job to pursue art full-time?,"80-Year-Old You, Spouse/Partner, Future Self, Inner Critic, Builder",5,"{""80-Year-Old You"": ""Yes"", ""Spouse/Partner"": ""Yes"", ""Future Self"": ""Yes"", ""Inner Critic"": ""Abstain"", ""Builder"": ""No""}",3,1,1,Yes,Chose alternative path,False,Successful,3,83.0
DEC-0073,Lifestyle,Should I adopt a dog even though my schedule is busy?,"80-Year-Old You, CFO, Therapist, Dad Voice",4,"{""80-Year-Old You"": ""Yes"", ""CFO"": ""Abstain"", ""Therapist"": ""Yes"", ""Dad Voice"": ""No""}",2,1,1,Yes,Proceeded (aligned with majority),True,Unsuccessful,3,49.0
DEC-0074,Personal Growth,Should I commit to journaling daily?,"Builder, Spouse/Partner, 80-Year-Old You, Chaos Goblin",4,"{""Builder"": ""Yes"", ""Spouse/Partner"": ""Abstain"", ""80-Year-Old You"": ""Abstain"", ""Chaos Goblin"": ""No""}",1,1,2,Split,Proceeded anyway,False,Unsuccessful,1,89.0
DEC-0075,Lifestyle,Should I adopt a cat (my third)?,"Inner Critic, Therapist, Adventurer, Chaos Goblin",4,"{""Inner Critic"": ""No"", ""Therapist"": ""Yes"", ""Adventurer"": ""Yes"", ""Chaos Goblin"": ""Yes""}",3,1,0,Yes,Chose alternative path,False,Successful,4,84.0
DEC-0076,Relationships,Should I move in with my partner after 6 months?,"Future Self, 80-Year-Old You, CFO, Spouse/Partner, Chaos Goblin",5,"{""Future Self"": ""Yes"", ""80-Year-Old You"": ""No"", ""CFO"": ""No"", ""Spouse/Partner"": ""No"", ""Chaos Goblin"": ""No""}",1,4,0,No,Did not proceed (aligned with majority),True,Mixed,2,8.0
DEC-0077,Career,Should I accept the remote role or stay hybrid?,"Adventurer, Dad Voice, Future Self, Spouse/Partner",4,"{""Adventurer"": ""Yes"", ""Dad Voice"": ""No"", ""Future Self"": ""No"", ""Spouse/Partner"": ""No""}",1,3,0,No,Chose compromise,False,Mixed,3,22.0
DEC-0078,Health,Should I see a specialist about this recurring issue?,"80-Year-Old You, Chaos Goblin, Spouse/Partner",3,"{""80-Year-Old You"": ""Yes"", ""Chaos Goblin"": ""Yes"", ""Spouse/Partner"": ""No""}",2,1,0,Yes,Delayed decision,False,Pending,3,
DEC-0079,Lifestyle,Should I take the solo trip or wait for friends to be available?,"Therapist, CFO, Chaos Goblin, Builder, Adventurer",5,"{""Therapist"": ""Abstain"", ""CFO"": ""Abstain"", ""Chaos Goblin"": ""Abstain"", ""Builder"": ""Yes"", ""Adventurer"": ""Yes""}",2,0,3,Yes,Chose alternative path,False,Pending,3,
DEC-0080,Relationships,Should I end a friendship that feels one-sided?,"Dad Voice, Future Self, Adventurer",3,"{""Dad Voice"": ""Abstain"", ""Future Self"": ""No"", ""Adventurer"": ""Yes""}",1,1,1,Split,Chose compromise,False,Successful,5,79.0
DEC-0081,Career,Should I accept the remote role or stay hybrid?,"Builder, Inner Critic, Spouse/Partner",3,"{""Builder"": ""No"", ""Inner Critic"": ""Yes"", ""Spouse/Partner"": ""Abstain""}",1,1,1,Split,Proceeded anyway,False,Mixed,4,78.0
DEC-0082,Relationships,Should I have the difficult conversation about our future?,"Spouse/Partner, CFO, Builder",3,"{""Spouse/Partner"": ""No"", ""CFO"": ""No"", ""Builder"": ""No""}",0,3,0,No,Did not proceed (aligned with majority),True,Unsuccessful,2,16.0
DEC-0083,Health,Should I quit drinking for a year?,"Dad Voice, CFO, Spouse/Partner",3,"{""Dad Voice"": ""No"", ""CFO"": ""Abstain"", ""Spouse/Partner"": ""Yes""}",1,1,1,Split,Did not proceed (aligned with majority),True,Successful,5,65.0
DEC-0084,Lifestyle,Should I take the sabbatical and travel?,"Adventurer, Dad Voice, Therapist, Spouse/Partner",4,"{""Adventurer"": ""Yes"", ""Dad Voice"": ""Yes"", ""Therapist"": ""No"", ""Spouse/Partner"": ""No""}",2,2,0,Split,Did not proceed (aligned with majority),True,Successful,5,40.0
DEC-0085,Health,Should I quit drinking for a year?,"Chaos Goblin, Adventurer, Inner Critic, Dad Voice, Therapist",5,"{""Chaos Goblin"": ""Abstain"", ""Adventurer"": ""No"", ""Inner Critic"": ""No"", ""Dad Voice"": ""Yes"", ""Therapist"": ""No""}",1,3,1,No,Proceeded anyway,False,Mixed,3,56.0
DEC-0086,Lifestyle,Should I move to a new city where I know no one?,"Chaos Goblin, Therapist, Spouse/Partner, Builder",4,"{""Chaos Goblin"": ""Abstain"", ""Therapist"": ""Abstain"", ""Spouse/Partner"": ""No"", ""Builder"": ""Yes""}",1,1,2,Split,Proceeded anyway,False,Mixed,3,50.0
DEC-0087,Creative,Should I take the unconventional career path?,"CFO, Inner Critic, Therapist, 80-Year-Old You, Dad Voice",5,"{""CFO"": ""No"", ""Inner Critic"": ""Abstain"", ""Therapist"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Dad Voice"": ""Abstain""}",1,1,3,Split,Proceeded anyway,False,Successful,4,16.0
DEC-0088,Personal Growth,Should I commit to journaling daily?,"Builder, 80-Year-Old You, Future Self",3,"{""Builder"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Future Self"": ""No""}",1,1,1,Split,Proceeded anyway,False,Successful,4,57.0
